item_id,sku,item_name,category,location_id,system_quantity,available_quantity,reserved_quantity,last_scan_timestamp,last_movement_timestamp,inventory_status
X137,SKU-X137,Ergonomic Desk Chair Cushion,Office,A01-B02,24,22,2,2026-08-24T08:00:00Z,2026-08-19T12:00:00Z,AVAILABLE
X138,SKU-X138,Vertical Wireless Mouse,Electronics,A01-B03,14,11,3,2026-08-24T17:00:00Z,2026-08-22T12:00:00Z,AVAILABLE
X139,SKU-X139,Magnetic Wireless Charger,Electronics,A01-B04,9,7,2,2026-08-23T05:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X140,SKU-X140,Screen Cleaning Kit,Office,A01-B05,13,12,1,2026-08-24T18:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X141,SKU-X141,Wireless Ergonomic Mouse,Electronics,A02-B01,4,4,0,2026-08-24T21:00:00Z,2026-08-23T12:00:00Z,HOLD
X142,SKU-X142,Ultra-Speed USB-C Cable 2m,Electronics,A02-B02,7,4,3,2026-08-25T03:00:00Z,2026-08-21T12:00:00Z,AVAILABLE
X143,SKU-X143,Adjustable Aluminium Laptop Stand,Office,A02-B03,21,18,3,2026-08-22T16:00:00Z,2026-08-22T12:00:00Z,DAMAGED
X144,SKU-X144,Mechanical Gaming Keyboard RGB,Electronics,A02-B04,2,0,2,2026-08-24T21:00:00Z,2026-08-19T12:00:00Z,DAMAGED
X145,SKU-X145,Shockproof Clear Phone Case,Accessories,A02-B05,10,8,2,2026-08-24T21:00:00Z,2026-08-22T12:00:00Z,AVAILABLE
X146,SKU-X146,4K Braided HDMI Cable 3m,Electronics,A03-B01,7,4,3,2026-08-25T11:00:00Z,2026-08-19T12:00:00Z,HOLD
X147,SKU-X147,Portable Bluetooth Speaker,Electronics,A03-B02,10,9,1,2026-08-22T19:00:00Z,2026-08-24T12:00:00Z,DISCREPANCY
X148,SKU-X148,HD Pro Webcam 1080p,Electronics,A03-B03,22,20,2,2026-08-22T19:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X149,SKU-X149,65W Fast Power Adapter,Electronics,A03-B04,6,4,2,2026-08-24T15:00:00Z,2026-08-20T12:00:00Z,DISCREPANCY
X150,SKU-X150,LED Dimmable Desk Lamp,Office,A03-B05,18,18,0,2026-08-23T18:00:00Z,2026-08-21T12:00:00Z,AVAILABLE
X151,SKU-X151,Noise-Cancelling Headphones,Electronics,A04-B01,5,3,2,2026-08-23T20:00:00Z,2026-08-23T12:00:00Z,AVAILABLE
X152,SKU-X152,Ergonomic Desk Chair Cushion,Office,A04-B02,9,9,0,2026-08-25T01:00:00Z,2026-08-19T12:00:00Z,AVAILABLE
X153,SKU-X153,Vertical Wireless Mouse,Electronics,A04-B03,4,3,1,2026-08-24T19:00:00Z,2026-08-19T12:00:00Z,AVAILABLE
X154,SKU-X154,Magnetic Wireless Charger,Electronics,A04-B04,19,18,1,2026-08-24T02:00:00Z,2026-08-20T12:00:00Z,DISCREPANCY
X155,SKU-X155,Screen Cleaning Kit,Office,A04-B05,21,18,3,2026-08-24T08:00:00Z,2026-08-20T12:00:00Z,DISCREPANCY
X156,SKU-X156,Wireless Ergonomic Mouse,Electronics,A05-B01,25,24,1,2026-08-23T20:00:00Z,2026-08-21T12:00:00Z,HOLD
X157,SKU-X157,Ultra-Speed USB-C Cable 2m,Electronics,A05-B02,22,20,2,2026-08-23T03:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X158,SKU-X158,Adjustable Aluminium Laptop Stand,Office,A05-B03,5,4,1,2026-08-24T07:00:00Z,2026-08-24T12:00:00Z,AVAILABLE
X159,SKU-X159,Mechanical Gaming Keyboard RGB,Electronics,A05-B04,2,0,2,2026-08-22T13:00:00Z,2026-08-23T12:00:00Z,DAMAGED
X160,SKU-X160,Shockproof Clear Phone Case,Accessories,A05-B05,9,9,0,2026-08-25T02:00:00Z,2026-08-19T12:00:00Z,HOLD
X161,SKU-X161,4K Braided HDMI Cable 3m,Electronics,A06-B01,3,2,1,2026-08-25T03:00:00Z,2026-08-24T12:00:00Z,DISCREPANCY
X162,SKU-X162,Portable Bluetooth Speaker,Electronics,A15-B04,12,12,0,2026-08-22T18:00:00Z,2026-08-23T12:00:00Z,AVAILABLE
X163,SKU-X163,HD Pro Webcam 1080p,Electronics,A15-B03,23,20,3,2026-08-24T08:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X164,SKU-X164,65W Fast Power Adapter,Electronics,A15-B05,25,22,3,2026-08-24T04:00:00Z,2026-08-18T12:00:00Z,AVAILABLE
X165,SKU-X165,LED Dimmable Desk Lamp,Office,A15-B06,15,14,1,2026-08-24T23:00:00Z,2026-08-24T12:00:00Z,HOLD
X166,SKU-X166,Noise-Cancelling Headphones,Electronics,A12-B03,15,13,2,2026-08-23T05:00:00Z,2026-08-21T12:00:00Z,AVAILABLE
X167,SKU-X167,Ergonomic Desk Chair Cushion,Office,A12-B02,25,25,0,2026-08-24T23:00:00Z,2026-08-24T12:00:00Z,AVAILABLE
X168,SKU-X168,Vertical Wireless Mouse,Electronics,A12-B04,25,23,2,2026-08-24T22:00:00Z,2026-08-23T12:00:00Z,AVAILABLE
X169,SKU-X169,Magnetic Wireless Charger,Electronics,A20-B02,8,5,3,2026-08-24T18:00:00Z,2026-08-21T12:00:00Z,AVAILABLE
X170,SKU-X170,Screen Cleaning Kit,Office,A20-B01,10,7,3,2026-08-24T04:00:00Z,2026-08-18T12:00:00Z,AVAILABLE
X171,SKU-X171,Wireless Ergonomic Mouse,Electronics,A20-B03,16,16,0,2026-08-25T05:00:00Z,2026-08-19T12:00:00Z,DAMAGED
X172,SKU-X172,Ultra-Speed USB-C Cable 2m,Electronics,A01-B01,2,2,0,2026-08-24T05:00:00Z,2026-08-23T12:00:00Z,AVAILABLE
X173,SKU-X173,Adjustable Aluminium Laptop Stand,Office,A01-B02,17,14,3,2026-08-24T08:00:00Z,2026-08-18T12:00:00Z,AVAILABLE
X174,SKU-X174,Mechanical Gaming Keyboard RGB,Electronics,A01-B03,3,2,1,2026-08-23T11:00:00Z,2026-08-24T12:00:00Z,AVAILABLE
X175,SKU-X175,Shockproof Clear Phone Case,Accessories,A01-B04,10,7,3,2026-08-23T23:00:00Z,2026-08-21T12:00:00Z,HOLD
X176,SKU-X176,4K Braided HDMI Cable 3m,Electronics,A01-B05,25,22,3,2026-08-24T16:00:00Z,2026-08-23T12:00:00Z,AVAILABLE
X177,SKU-X177,Portable Bluetooth Speaker,Electronics,A02-B01,8,8,0,2026-08-22T14:00:00Z,2026-08-24T12:00:00Z,HOLD
X178,SKU-X178,HD Pro Webcam 1080p,Electronics,A02-B02,12,12,0,2026-08-25T05:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X179,SKU-X179,65W Fast Power Adapter,Electronics,A02-B03,18,17,1,2026-08-25T04:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
X180,SKU-X180,LED Dimmable Desk Lamp,Office,A02-B04,7,7,0,2026-08-25T03:00:00Z,2026-08-19T12:00:00Z,DISCREPANCY
X181,SKU-X181,Noise-Cancelling Headphones,Electronics,A02-B05,9,6,3,2026-08-24T20:00:00Z,2026-08-20T12:00:00Z,AVAILABLE
